Searching for counterexample to Bound 44
Time budget: 3600s | Restart budget: 120s
Max nodes: 100
Sparse init: random trees at n=40-60
============================================================

--- Restart 1 | 3600s remaining ---
  Starting from random tree: n=60
AMCS start | n=60 e=59 | score=-2.677395
  iter   21 | t=   1.4s | IMPROVED +0.001200 -> -0.517478 | n=67 e=100 | depth=0 level=1
  iter   22 | t=   1.7s | IMPROVED +0.002925 -> -0.514553 | n=68 e=102 | depth=0 level=1
  iter   23 | t=   1.7s | IMPROVED +0.004309 -> -0.510244 | n=69 e=104 | depth=0 level=1
  iter   24 | t=   2.2s | IMPROVED +0.002899 -> -0.507344 | n=70 e=106 | depth=0 level=1
  iter   25 | t=   4.0s | IMPROVED +0.005508 -> -0.501837 | n=72 e=108 | depth=0 level=1
  iter   26 | t=   4.1s | IMPROVED +0.001582 -> -0.500254 | n=74 e=110 | depth=0 level=1
  iter   27 | t=   4.2s | IMPROVED +0.009603 -> -0.490652 | n=74 e=112 | depth=0 level=1
  iter   28 | t=   5.2s | IMPROVED +0.006441 -> -0.484211 | n=75 e=114 | depth=0 level=1
  iter   29 | t=   6.5s | IMPROVED +0.000853 -> -0.483358 | n=76 e=116 | depth=0 level=1
  iter   30 | t=   9.5s | IMPROVED +0.005051 -> -0.478307 | n=78 e=118 | depth=0 level=1
  iter   31 | t=  11.1s | IMPROVED +0.003927 -> -0.474380 | n=80 e=120 | depth=0 level=1
  iter   32 | t=  11.8s | IMPROVED +0.019407 -> -0.454974 | n=80 e=122 | depth=0 level=1
  iter   33 | t=  13.2s | IMPROVED +0.002608 -> -0.452365 | n=80 e=124 | depth=0 level=1
  iter   34 | t=  17.4s | IMPROVED +0.000059 -> -0.452306 | n=81 e=126 | depth=0 level=1
  iter   35 | t=  19.1s | IMPROVED +0.002133 -> -0.450173 | n=82 e=128 | depth=0 level=1
  iter   36 | t=  26.2s | IMPROVED +0.006253 -> -0.443920 | n=83 e=130 | depth=0 level=1
  iter   37 | t=  31.2s | IMPROVED +0.000945 -> -0.442975 | n=84 e=132 | depth=0 level=1
  iter   38 | t=  34.4s | IMPROVED +0.012595 -> -0.430380 | n=86 e=134 | depth=0 level=1
  iter   39 | t=  41.4s | IMPROVED +0.029819 -> -0.400561 | n=87 e=136 | depth=0 level=1
  iter   40 | t=  49.2s | score=-0.400561 best=-0.400561 | depth=1 level=1
  iter   44 | t=  73.6s | IMPROVED +0.004673 -> -0.395888 | n=86 e=135 | depth=0 level=1
  iter   45 | t=  73.9s | IMPROVED +0.009171 -> -0.386717 | n=87 e=137 | depth=0 level=1
  iter   46 | t=  74.9s | IMPROVED +0.000020 -> -0.386696 | n=87 e=139 | depth=0 level=1
  iter   47 | t=  76.0s | IMPROVED +0.001849 -> -0.384848 | n=88 e=141 | depth=0 level=1
  iter   50 | t=  91.0s | score=-0.384848 best=-0.384848 | depth=3 level=1
  iter   56 | t= 120.0s | IMPROVED +0.004085 -> -0.380762 | n=89 e=142 | depth=0 level=1
AMCS done  | 120.0s | 56 iterations | best=-0.380762 | n=89 e=142

--- Restart 3 | 3360s remaining ---
  Starting from random tree: n=44
AMCS start | n=44 e=43 | score=-2.257167
  iter    1 | t=   0.0s | IMPROVED +0.000071 -> -2.257096 | n=44 e=45 | depth=0 level=1
  iter    2 | t=   0.0s | IMPROVED +0.000005 -> -2.257091 | n=44 e=47 | depth=0 level=1
