Tabu Search for counterexample to Bound 44
Time budget: 1800s | Start n=15 | Restarts=5
============================================================

============================================================
Restart 1/5 | n=15 e=21 density=0.2 | budget=360s
============================================================
Tabu Search start | n=15 e=21 | score=-1.198410
  iter     7 | t=    1.4s | NEW BEST=-0.51095828 | n=15 e=31 | neighbors=378
  iter     8 | t=    1.4s | NEW BEST=-0.42196997 | n=15 e=31 | neighbors=26
  iter     8 | t=    1.4s | NEW BEST=-0.41811924 | n=15 e=31 | neighbors=34
  iter     8 | t=    1.5s | NEW BEST=-0.41318597 | n=15 e=31 | neighbors=224
  iter     9 | t=    1.6s | NEW BEST=-0.39934194 | n=15 e=31 | neighbors=20
  iter     9 | t=    1.7s | NEW BEST=-0.32100283 | n=15 e=31 | neighbors=78
  iter    10 | t=    1.9s | NEW BEST=-0.31726259 | n=15 e=31 | neighbors=118
  iter    10 | t=    1.9s | NEW BEST=-0.28873023 | n=15 e=31 | neighbors=122
  iter    10 | t=    2.0s | NEW BEST=-0.28149440 | n=15 e=31 | neighbors=450
  iter    10 | t=    2.0s | NEW BEST=-0.25638604 | n=15 e=31 | neighbors=487
  iter    12 | t=    2.3s | NEW BEST=-0.25638604 | n=15 e=31 | neighbors=196
  iter    12 | t=    2.4s | NEW BEST=-0.24062948 | n=15 e=31 | neighbors=423
  iter    14 | t=    2.7s | NEW BEST=-0.18050911 | n=15 e=31 | neighbors=90
  iter    15 | t=    2.9s | NEW BEST=-0.17412386 | n=15 e=31 | neighbors=92
  iter    15 | t=    2.9s | NEW BEST=-0.17412386 | n=15 e=31 | neighbors=285
  iter    16 | t=    3.0s | NEW BEST=-0.17412386 | n=15 e=31 | neighbors=37
  iter    16 | t=    3.1s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=125
  iter    19 | t=    3.6s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=25
  iter    24 | t=    4.6s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=227
  iter    33 | t=    6.3s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=173
  iter    37 | t=    7.2s | NEW BEST=-0.08952278 | n=15 e=31 | neighbors=382
  iter    50 | t=    9.8s | current=-0.169264 best=-0.089523 | n=15 e=31 | tabu=50
  iter   100 | t=   19.6s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter   150 | t=   29.3s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   200 | t=   38.9s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   250 | t=   48.7s | current=-0.180509 best=-0.089523 | n=15 e=31 | tabu=50
  iter   300 | t=   58.5s | current=-0.110197 best=-0.089523 | n=15 e=31 | tabu=50
  iter   350 | t=   68.1s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter   400 | t=   77.8s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   450 | t=   87.6s | current=-0.138165 best=-0.089523 | n=15 e=31 | tabu=50
  iter   500 | t=   97.4s | current=-0.174124 best=-0.089523 | n=15 e=31 | tabu=50
  iter   550 | t=  107.2s | current=-0.089523 best=-0.089523 | n=15 e=31 | tabu=50
  iter   600 | t=  117.0s | current=-0.180509 best=-0.089523 | n=15 e=31 | tabu=50
